fecha;producto;presentacion;unidades (kg);ciudad;precio_minimo;precio_maximo;categoria
2025-01-01;Cebolla Cabezona Blanca;Bulto;75;Sogamoso;81542;81711;Verdura
2025-01-01;Cebolla Cabezona Blanca;Bulto;36;Tunja;79599;79786;Verdura
2025-01-01;Cebolla Cabezona Blanca;Bulto;73;Bogotá;77925;78073;Verdura
2025-01-01;Cebolla Cabezona Roja;Bulto;36;Boyacá;112068;112154;Verdura
2025-01-01;Cebolla Cabezona Roja;Bulto;12;Sogamoso;102014;102176;Verdura
2025-01-01;Cebolla Cabezona Roja;Bulto;55;Tunja;109883;110037;Verdura
2025-01-01;Cebolla Cabezona Roja;Bulto;30;Bogotá;109571;109637;Verdura
2025-01-01;Cebolla Lunaquita Aquitania;Atado/Manojo;62;Boyacá;72987;73177;Verdura
2025-01-01;Cebolla Lunaquita Aquitania;Atado/Manojo;59;Sogamoso;82774;82842;Verdura
2025-01-01;Cebolla Lunaquita Aquitania;Atado/Manojo;49;Tunja;81293;81370;Verdura
2025-01-01;Cebolla Lunaquita Aquitania;Atado/Manojo;78;Bogotá;87339;87516;Verdura
2025-01-01;Cebolla Puerro;Atado/Manojo;52;Boyacá;49823;49989;Verdura
2025-01-01;Cebolla Puerro;Atado/Manojo;69;Sogamoso;48087;48235;Verdura
2025-01-01;Cebolla Puerro;Atado/Manojo;12;Tunja;47831;47933;Verdura
2025-01-01;Cebolla Puerro;Atado/Manojo;23;Bogotá;42538;42731;Verdura
2025-01-01;Tomate Chonto;Canastilla;57;Boyacá;41471;41596;Verdura
2025-01-01;Tomate Chonto;Canastilla;9;Sogamoso;38349;38472;Verdura
2025-01-01;Tomate Chonto;Canastilla;58;Tunja;36538;36594;Verdura
2025-01-01;Tomate Chonto;Canastilla;46;Bogotá;38417;38607;Verdura
2025-01-01;Tomate Larga Vida;Canastilla;40;Boyacá;51664;51796;Verdura
2025-01-01;Tomate Larga Vida;Canastilla;8;Sogamoso;53189;53347;Verdura
2025-01-01;Tomate Larga Vida;Canastilla;65;Tunja;52317;52437;Verdura
2025-01-01;Tomate Larga Vida;Canastilla;89;Bogotá;54593;54687;Verdura
2025-01-01;Acelga;Atado/Manojo;4;Boyacá;9637;9705;Otros
2025-01-01;Acelga;Atado/Manojo;61;Sogamoso;9181;9338;Otros
2025-01-01;Acelga;Atado/Manojo;54;Tunja;9081;9149;Otros
2025-01-01;Acelga;Atado/Manojo;39;Bogotá;9764;9939;Otros
2025-01-01;Apio;Atado/Manojo;67;Boyacá;10383;10558;Otros
2025-01-01;Apio;Atado/Manojo;58;Sogamoso;9834;10031;Otros
2025-01-01;Apio;Atado/Manojo;92;Tunja;11244;11294;Otros
2025-01-01;Apio;Atado/Manojo;3;Bogotá;10298;10439;Otros
2025-01-01;Manzana;Caja;62;Boyacá;3455;3560;Otros
2025-01-01;Manzana;Caja;33;Sogamoso;2592;2758;Otros
2025-01-01;Manzana;Caja;6;Tunja;2491;2620;Otros
2025-01-01;Manzana;Caja;85;Bogotá;4030;4226;Otros
2025-01-01;Banana;Bolsa;20;Boyacá;2060;2110;Otros
2025-01-01;Banana;Bolsa;54;Sogamoso;2347;2514;Otros
2025-01-01;Banana;Bolsa;3;Tunja;2008;2174;Otros
2025-01-01;Banana;Bolsa;8;Bogotá;2275;2446;Otros
2025-01-01;Naranja;Unidad;92;Boyacá;3118;3227;Otros
2025-01-01;Naranja;Unidad;50;Sogamoso;3397;3474;Otros
2025-01-01;Naranja;Unidad;92;Tunja;3089;3283;Otros
2025-01-01;Naranja;Unidad;73;Bogotá;3037;3227;Otros
2025-01-01;Pera;Caja;46;Boyacá;3732;3791;Otros
2025-01-01;Pera;Caja;56;Sogamoso;2876;2955;Otros
2025-01-01;Pera;Caja;5;Tunja;2829;2943;Otros
2025-01-01;Pera;Caja;18;Bogotá;2901;2961;Otros
2025-01-02;Plátano Guineo;Kilogramo;85;Boyacá;3031;3139;Otros
2025-01-02;Plátano Guineo;Kilogramo;27;Sogamoso;2682;2829;Otros
2025-01-02;Plátano Guineo;Kilogramo;99;Tunja;3265;3409;Otros
2025-01-02;Plátano Guineo;Kilogramo;5;Bogotá;2246;2397;Otros
2025-01-02;Plátano Hartón Maduro;Bolsa;3;Boyacá;83405;83537;Otros
2025-01-02;Plátano Hartón Maduro;Bolsa;17;Sogamoso;78881;79015;Otros
2025-01-02;Plátano Hartón Maduro;Bolsa;78;Tunja;75736;75789;Otros
2025-01-02;Plátano Hartón Maduro;Bolsa;62;Bogotá;75101;75263;Otros
2025-01-02;Plátano Hartón Verde;Bolsa;32;Boyacá;77814;77981;Otros
2025-01-02;Plátano Hartón Verde;Bolsa;3;Sogamoso;75879;76051;Otros
2025-01-02;Plátano Hartón Verde;Bolsa;50;Tunja;78659;78841;Otros
2025-01-02;Plátano Hartón Verde;Bolsa;94;Bogotá;82909;83015;Otros
2025-01-02;Plátano Hartón Verde Llanero;Canastilla;17;Boyacá;90494;90609;Otros
2025-01-02;Plátano Hartón Verde Llanero;Canastilla;75;Sogamoso;94238;94390;Otros
2025-01-02;Plátano Hartón Verde Llanero;Canastilla;38;Tunja;88769;88868;Otros
2025-01-02;Plátano Hartón Verde Llanero;Canastilla;98;Bogotá;88697;88828;Otros
2025-01-02;Papa R-12 Negra;Bulto;30;Boyacá;36171;36272;Tuberculo
2025-01-02;Papa R-12 Negra;Bulto;38;Sogamoso;38098;38226;Tuberculo
2025-01-02;Papa R-12 Negra;Bulto;30;Tunja;39640;39822;Tuberculo
2025-01-02;Papa R-12 Negra;Bulto;29;Bogotá;38410;38591;Tuberculo
2025-01-02;Papa R-12 Roja;Bulto;10;Boyacá;37572;37705;Tuberculo
2025-01-02;Papa R-12 Roja;Bulto;88;Sogamoso;39873;39991;Tuberculo
2025-01-02;Papa R-12 Roja;Bulto;34;Tunja;34984;35159;Tuberculo
2025-01-02;Papa R-12 Roja;Bulto;43;Bogotá;40191;40355;Tuberculo
2025-01-02;Papa Criolla Limpia;Bulto;23;Boyacá;249721;249874;Tuberculo
2025-01-02;Papa Criolla Limpia;Bulto;4;Sogamoso;233526;233600;Tuberculo
2025-01-02;Papa Criolla Limpia;Bulto;67;Tunja;246205;246315;Tuberculo
2025-01-02;Papa Criolla Limpia;Bulto;51;Bogotá;258663;258859;Tuberculo
2025-01-02;Papa Criolla Sucia;Bulto;21;Boyacá;160835;160945;Tuberculo
2025-01-02;Papa Criolla Sucia;Bulto;22;Sogamoso;158679;158877;Tuberculo
2025-01-02;Papa Criolla Sucia;Bulto;70;Tunja;164817;164956;Tuberculo
2025-01-02;Papa Criolla Sucia;Bulto;46;Bogotá;156919;157002;Tuberculo
2025-01-02;Papa Parda Pastusa;Bulto;49;Boyacá;52656;52778;Tuberculo
2025-01-02;Papa Parda Pastusa;Bulto;26;Sogamoso;47844;47940;Tuberculo
2025-01-02;Papa Parda Pastusa;Bulto;86;Tunja;50382;50544;Tuberculo
2025-01-02;Papa Parda Pastusa;Bulto;99;Bogotá;47017;47113;Tuberculo
2025-01-02;Papa Sabanera;Bulto;56;Boyacá;140398;140525;Tuberculo
2025-01-02;Papa Sabanera;Bulto;88;Sogamoso;123938;124117;Tuberculo
2025-01-02;Papa Sabanera;Bulto;26;Tunja;128863;129019;Tuberculo
2025-01-02;Papa Sabanera;Bulto;18;Bogotá;127125;127212;Tuberculo
2025-01-02;Papa Superior;Bulto;99;Boyacá;53594;53762;Tuberculo
2025-01-02;Papa Superior;Bulto;28;Sogamoso;54656;54744;Tuberculo
2025-01-02;Papa Superior;Bulto;57;Tunja;51279;51341;Tuberculo
2025-01-02;Papa Superior;Bulto;84;Bogotá;56408;56482;Tuberculo
2025-01-02;Papa Única;Bulto;68;Boyacá;35363;35558;Tuberculo
2025-01-02;Papa Única;Bulto;86;Sogamoso;31235;31318;Tuberculo
2025-01-02;Papa Única;Bulto;8;Tunja;34984;35075;Tuberculo
2025-01-02;Papa Única;Bulto;41;Bogotá;36137;36287;Tuberculo
2025-01-02;Yuca Llanera;Bolsa;6;Boyacá;116359;116467;Tuberculo
2025-01-02;Yuca Llanera;Bolsa;70;Sogamoso;120529;120699;Tuberculo
2025-01-02;Yuca Llanera;Bolsa;33;Tunja;114144;114287;Tuberculo
2025-01-02;Yuca Llanera;Bolsa;75;Bogotá;102652;102763;Tuberculo
2025-01-02;Arveja Verde En Vaina;Bulto;94;Boyacá;211449;211538;Otros
2025-01-02;Arveja Verde En Vaina;Bulto;36;Sogamoso;201635;201690;Otros
2025-01-02;Arveja Verde En Vaina;Bulto;66;Tunja;219034;219162;Otros
2025-01-02;Arveja Verde En Vaina;Bulto;6;Bogotá;211585;211752;Otros
2025-01-02;Arveja Verde En Vaina Pastusa;Bulto;94;Boyacá;170073;170201;Otros
2025-01-02;Arveja Verde En Vaina Pastusa;Bulto;75;Sogamoso;157685;157870;Otros
2025-01-02;Arveja Verde En Vaina Pastusa;Bulto;26;Tunja;172957;173076;Otros
2025-01-02;Arveja Verde En Vaina Pastusa;Bulto;26;Bogotá;158976;159143;Otros
2025-01-02;Frijol Verde Cargamanto;Bulto;68;Boyacá;213617;213779;Otros
2025-01-02;Frijol Verde Cargamanto;Bulto;12;Sogamoso;181340;181436;Otros
2025-01-02;Frijol Verde Cargamanto;Bulto;1;Tunja;194005;194091;Otros
2025-01-02;Frijol Verde Cargamanto;Bulto;11;Bogotá;218486;218635;Otros
2025-01-02;Habichuela;Bulto;77;Boyacá;223274;223333;Verdura
2025-01-02;Habichuela;Bulto;5;Sogamoso;230595;230782;Verdura
2025-01-02;Habichuela;Bulto;44;Tunja;237646;237779;Verdura
2025-01-02;Habichuela;Bulto;65;Bogotá;219005;219117;Verdura
2025-01-02;Ahuyama;Kilogramo;73;Boyacá;2783;2870;Verdura
2025-01-02;Ahuyama;Kilogramo;35;Sogamoso;2494;2637;Verdura
2025-01-02;Ahuyama;Kilogramo;95;Tunja;2967;3092;Verdura
2025-01-02;Ahuyama;Kilogramo;99;Bogotá;2999;3083;Verdura
2025-01-02;Ahuyamin (Sakata);Bulto;1;Boyacá;61474;61587;Otros
2025-01-02;Ahuyamin (Sakata);Bulto;93;Sogamoso;65670;65791;Otros
2025-01-02;Ahuyamin (Sakata);Bulto;11;Tunja;58326;58405;Otros
2025-01-02;Ahuyamin (Sakata);Bulto;35;Bogotá;62115;62169;Otros
2025-01-02;Ajo;Atado/Manojo;83;Boyacá;56627;56808;Verdura
2025-01-02;Ajo;Atado/Manojo;89;Sogamoso;61597;61688;Verdura
2025-01-02;Ajo;Atado/Manojo;89;Tunja;54513;54666;Verdura
2025-01-02;Ajo;Atado/Manojo;14;Bogotá;60384;60465;Verdura
2025-01-02;Ajo Importado;Caja De Cartón;51;Boyacá;72988;73100;Verdura
2025-01-02;Ajo Importado;Caja De Cartón;15;Sogamoso;77880;78074;Verdura
2025-01-02;Ajo Importado;Caja De Cartón;97;Tunja;73374;73476;Verdura
2025-01-02;Ajo Importado;Caja De Cartón;51;Bogotá;62321;62409;Verdura
2025-01-02;Berenjena;Kilogramo;51;Boyacá;4137;4228;Otros
2025-01-02;Berenjena;Kilogramo;64;Sogamoso;4487;4551;Otros
2025-01-02;Berenjena;Kilogramo;29;Tunja;4631;4718;Otros
2025-01-02;Berenjena;Kilogramo;57;Bogotá;4564;4710;Otros
2025-01-02;Calabacín;Bolsa;27;Boyacá;7798;7970;Otros
2025-01-02;Calabacín;Bolsa;74;Sogamoso;7881;8027;Otros
2025-01-02;Calabacín;Bolsa;38;Tunja;6594;6752;Otros
2025-01-02;Calabacín;Bolsa;88;Bogotá;8117;8181;Otros
2025-01-02;Chócolo Mazorca;Bulto;29;Boyacá;166377;166494;Otros
2025-01-02;Chócolo Mazorca;Bulto;76;Sogamoso;201802;201981;Otros
2025-01-02;Chócolo Mazorca;Bulto;27;Tunja;187397;187482;Otros
2025-01-02;Chócolo Mazorca;Bulto;26;Bogotá;184085;184177;Otros
2025-01-02;Cidra;Kilogramo;27;Boyacá;2164;2287;Otros
2025-01-02;Cidra;Kilogramo;38;Sogamoso;2329;2512;Otros
2025-01-02;Cidra;Kilogramo;72;Tunja;2552;2708;Otros
2025-01-02;Cidra;Kilogramo;12;Bogotá;2059;2249;Otros
2025-01-02;Pepino Cohombro;Kilogramo;62;Boyacá;4073;4226;Verdura
2025-01-02;Pepino Cohombro;Kilogramo;60;Sogamoso;4023;4172;Verdura
2025-01-02;Pepino Cohombro;Kilogramo;68;Tunja;4391;4471;Verdura
2025-01-02;Pepino Cohombro;Kilogramo;9;Bogotá;3708;3808;Verdura
2025-01-02;Pepino De Rellenar (Caja);Caja De Cartón;29;Boyacá;31770;31876;Verdura
2025-01-02;Pepino De Rellenar (Caja);Caja De Cartón;1;Sogamoso;31705;31817;Verdura
2025-01-02;Pepino De Rellenar (Caja);Caja De Cartón;54;Tunja;37165;37363;Verdura
2025-01-02;Pepino De Rellenar (Caja);Caja De Cartón;47;Bogotá;33821;33923;Verdura
2025-01-02;Pepino De Rellenar (Canastilla);Canastilla;9;Boyacá;38745;38829;Verdura
2025-01-02;Pepino De Rellenar (Canastilla);Canastilla;63;Sogamoso;36948;37022;Verdura
2025-01-02;Pepino De Rellenar (Canastilla);Canastilla;90;Tunja;37969;38109;Verdura
2025-01-02;Pepino De Rellenar (Canastilla);Canastilla;17;Bogotá;38848;39025;Verdura
2025-01-02;Pimentón;Kilogramo;43;Boyacá;6060;6197;Otros
2025-01-02;Pimentón;Kilogramo;33;Sogamoso;5409;5487;Otros
2025-01-02;Pimentón;Kilogramo;63;Tunja;5881;6044;Otros
2025-01-02;Pimentón;Kilogramo;85;Bogotá;6152;6250;Otros
2025-01-02;Remolacha;Bulto;71;Boyacá;83057;83254;Verdura
2025-01-02;Remolacha;Bulto;86;Sogamoso;85131;85243;Verdura
2025-01-02;Remolacha;Bulto;61;Tunja;80724;80914;Verdura
2025-01-02;Remolacha;Bulto;94;Bogotá;79684;79856;Verdura
2025-01-02;Rábano Rojo;Atado/Manojo;56;Boyacá;9508;9586;Otros
2025-01-02;Rábano Rojo;Atado/Manojo;49;Sogamoso;9560;9639;Otros
2025-01-02;Rábano Rojo;Atado/Manojo;16;Tunja;8839;8966;Otros
2025-01-02;Rábano Rojo;Atado/Manojo;47;Bogotá;9518;9680;Otros
2025-01-02;Zanahoria;Bulto;94;Boyacá;127992;128170;Verdura
2025-01-02;Zanahoria;Bulto;8;Sogamoso;136455;136559;Verdura
2025-01-02;Zanahoria;Bulto;3;Tunja;125529;125688;Verdura
2025-01-02;Zanahoria;Bulto;34;Bogotá;130090;130263;Verdura
2025-01-02;Cebolla Cabezona Blanca;Bulto;97;Boyacá;82096;82210;Verdura
2025-01-02;Cebolla Cabezona Blanca;Bulto;57;Sogamoso;82997;83113;Verdura
2025-01-02;Cebolla Cabezona Blanca;Bulto;88;Tunja;78479;78600;Verdura
2025-01-02;Cebolla Cabezona Blanca;Bulto;54;Bogotá;72573;72689;Verdura
2025-01-02;Cebolla Cabezona Roja;Bulto;51;Boyacá;99094;99178;Verdura
2025-01-02;Cebolla Cabezona Roja;Bulto;96;Sogamoso;109703;109840;Verdura
2025-01-02;Cebolla Cabezona Roja;Bulto;78;Tunja;112341;112534;Verdura
2025-01-02;Cebolla Cabezona Roja;Bulto;68;Bogotá;107887;108078;Verdura
2025-01-02;Cebolla Lunaquita Aquitania;Atado/Manojo;95;Boyacá;80961;81084;Verdura
2025-01-02;Cebolla Lunaquita Aquitania;Atado/Manojo;7;Sogamoso;81509;81643;Verdura
2025-01-02;Cebolla Lunaquita Aquitania;Atado/Manojo;19;Tunja;88330;88508;Verdura
2025-01-02;Cebolla Lunaquita Aquitania;Atado/Manojo;47;Bogotá;86923;87120;Verdura
2025-01-02;Cebolla Puerro;Atado/Manojo;11;Boyacá;43525;43693;Verdura
2025-01-02;Cebolla Puerro;Atado/Manojo;12;Sogamoso;41951;42020;Verdura
2025-01-02;Cebolla Puerro;Atado/Manojo;5;Tunja;47717;47903;Verdura
2025-01-02;Cebolla Puerro;Atado/Manojo;98;Bogotá;44472;44574;Verdura
2025-01-02;Tomate Chonto;Canastilla;44;Boyacá;37274;37443;Verdura
2025-01-02;Tomate Chonto;Canastilla;59;Sogamoso;38573;38750;Verdura
2025-01-02;Tomate Chonto;Canastilla;96;Tunja;37778;37841;Verdura
2025-01-02;Tomate Chonto;Canastilla;9;Bogotá;37483;37572;Verdura
2025-01-02;Tomate Larga Vida;Canastilla;66;Boyacá;49621;49692;Verdura
2025-01-02;Tomate Larga Vida;Canastilla;4;Sogamoso;54491;54569;Verdura
2025-01-02;Tomate Larga Vida;Canastilla;98;Tunja;49202;49268;Verdura
2025-01-02;Tomate Larga Vida;Canastilla;37;Bogotá;54319;54490;Verdura
2025-01-02;Acelga;Atado/Manojo;76;Boyacá;9875;9936;Otros
2025-01-02;Acelga;Atado/Manojo;53;Sogamoso;9972;10159;Otros
2025-01-02;Acelga;Atado/Manojo;45;Tunja;9305;9476;Otros
